horizon,mse,rmse,mae,mape,mdape,smape,coverage
363 days,0.1819993695862893,0.4266138412971259,0.4266138412971259,0.0034174198932778854,0.0034174198932778854,0.003423269267525329,1.0
364 days,1.1849163495796589,1.0885386302652096,1.033518140657133,0.008781753866558432,0.009160182286436764,0.008738700754381469,0.25
365 days,2.8959532373566557,1.7017500513755408,1.7017500513755408,0.01529384100346316,0.01529384100346316,0.015177777743664406,0.0
729 days,4.099455708262063,2.024711265406024,1.7322651031368927,0.014823521546134755,0.01703061725841156,0.01467372465287655,0.25
730 days,5.856033947120036,2.4199243680578193,2.412735251026156,0.021979897983175116,0.021979897983175116,0.021740045997142306,0.0
1094 days,8.448520224771045,2.906633830528201,2.6796982027862457,0.02303656892838179,0.024808004578001374,0.022725648101052258,1.0
1095 days,10.266604940301761,3.204154325294236,3.1835786549020595,0.02939571984793151,0.027970226504004464,0.0289665412405909,1.0
