horizon,mse,rmse,mae,mape,mdape,smape,coverage
363 days,0.09802379158622497,0.31308751426114867,0.31308751426114867,0.011871239653900663,0.011871239653900663,0.011942123559274986,1.0
364 days,2.610055476973969,1.615566611741518,1.4426969873221953,0.05890667323604526,0.06902714646297625,0.061136674517175915,1.0
365 days,3.105182688929081,1.762152856289454,1.762152856289454,0.08002502624976235,0.08002502624976235,0.08336048890621894,1.0
729 days,4.618271817511548,2.1490164767892193,2.0411754983560533,0.0841209069219348,0.08965054243601589,0.08820317694570273,0.5
730 days,4.391956557295956,2.0956995388881383,2.08482414914584,0.09646097129855488,0.09646097129855488,0.10142532755749833,0.5
1094 days,6.63384929409559,2.5756260004308835,2.4998680447586255,0.10528205276985433,0.11893089551121042,0.11147435309935239,0.33333333333333337
1095 days,5.926150304558226,2.434368563828868,2.4340822208486896,0.11424999066008598,0.11315322752738019,0.12117367629930642,0.0
