horizon,mse,rmse,mae,mape,mdape,smape,coverage
363 days,0.004538409589316473,0.06736771919336793,0.06736771919336793,0.027735629215329217,0.027735629215329217,0.02812567080375185,0.0
364 days,0.002973641324413679,0.054531104192136796,0.05219773454122101,0.022117055090199372,0.021551585210907807,0.022386088143216618,0.0
365 days,0.0021100172000272106,0.04593492353348605,0.04593492353348605,0.01985744957754433,0.01985744957754433,0.020056585899139254,0.0
729 days,0.014640332850084495,0.12099724315076148,0.11889681546280495,0.05043865119107435,0.05348643188696464,0.05178823492298473,0.25
730 days,0.004152970708604642,0.06444354667928079,0.06438217141364522,0.027884710549084403,0.027884710549084403,0.02827969155557345,0.0
1094 days,0.03298550314471084,0.18161911558178792,0.18064811629161132,0.07711150065604638,0.08014378884146617,0.08023601118417936,0.6666666666666667
1095 days,0.008594324978608143,0.092705582240813,0.09136577408457067,0.03964096030422541,0.03587800680125694,0.04046630161870171,0.6666666666666667
