country,index,horizon,mse,rmse,mae,mape,mdape,smape,coverage
Indonesia,0,363 days,0.09802379158622497,0.31308751426114867,0.31308751426114867,0.011871239653900663,0.011871239653900663,0.011942123559274986,1.0
Indonesia,1,364 days,2.610055476973969,1.615566611741518,1.4426969873221953,0.05890667323604526,0.06902714646297625,0.061136674517175915,1.0
Indonesia,2,365 days,3.105182688929081,1.762152856289454,1.762152856289454,0.08002502624976235,0.08002502624976235,0.08336048890621894,1.0
Indonesia,3,729 days,4.618271817511548,2.1490164767892193,2.0411754983560533,0.0841209069219348,0.08965054243601589,0.08820317694570273,0.75
Indonesia,4,730 days,4.391956557295956,2.0956995388881383,2.08482414914584,0.09646097129855488,0.09646097129855488,0.10142532755749833,1.0
Indonesia,5,1094 days,6.63384929409559,2.5756260004308835,2.4998680447586255,0.10528205276985433,0.11893089551121042,0.11147435309935239,0.33333333333333337
Indonesia,6,1095 days,5.926150304558226,2.434368563828868,2.4340822208486896,0.11424999066008598,0.11315322752738019,0.12117367629930642,0.0
Nigeria,0,363 days,0.1819993695862893,0.4266138412971259,0.4266138412971259,0.0034174198932778854,0.0034174198932778854,0.003423269267525329,1.0
Nigeria,1,364 days,1.1849163495796589,1.0885386302652096,1.033518140657133,0.008781753866558432,0.009160182286436764,0.008738700754381469,0.25
Nigeria,2,365 days,2.8959532373566557,1.7017500513755408,1.7017500513755408,0.01529384100346316,0.01529384100346316,0.015177777743664406,0.0
Nigeria,3,729 days,4.099455708262063,2.024711265406024,1.7322651031368927,0.014823521546134755,0.01703061725841156,0.01467372465287655,0.25
Nigeria,4,730 days,5.856033947120036,2.4199243680578193,2.412735251026156,0.021979897983175116,0.021979897983175116,0.021740045997142306,0.0
Nigeria,5,1094 days,8.448520224771045,2.906633830528201,2.6796982027862457,0.02303656892838179,0.024808004578001374,0.022725648101052258,0.6666666666666667
Nigeria,6,1095 days,10.266604940301761,3.204154325294236,3.1835786549020595,0.02939571984793151,0.027970226504004464,0.0289665412405909,0.6666666666666667
Finland,0,363 days,0.004538409589316473,0.06736771919336793,0.06736771919336793,0.027735629215329217,0.027735629215329217,0.02812567080375185,0.0
Finland,1,364 days,0.002973641324413679,0.054531104192136796,0.05219773454122101,0.022117055090199372,0.021551585210907807,0.022386088143216618,0.0
Finland,2,365 days,0.0021100172000272106,0.04593492353348605,0.04593492353348605,0.01985744957754433,0.01985744957754433,0.020056585899139254,0.0
Finland,3,729 days,0.014640332850084495,0.12099724315076148,0.11889681546280495,0.05043865119107435,0.05348643188696464,0.05178823492298473,0.0
Finland,4,730 days,0.004152970708604642,0.06444354667928079,0.06438217141364522,0.027884710549084403,0.027884710549084403,0.02827969155557345,0.0
Finland,5,1094 days,0.03298550314471084,0.18161911558178792,0.18064811629161132,0.07711150065604638,0.08014378884146617,0.08023601118417936,0.6666666666666667
Finland,6,1095 days,0.008594324978608143,0.092705582240813,0.09136577408457067,0.03964096030422541,0.03587800680125694,0.04046630161870171,0.6666666666666667
